what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864613153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864613741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864614604
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864615220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864616560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1296864624584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1296864627661
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296864628088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864628396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864635003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864644134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864644745
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296864645284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1296864649680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1296864651665
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1296864653190
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1296864653578
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1296864653728
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296864654826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864665296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864667274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864667776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864668650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864669019
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1296864669061
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864671912
error,log,,,"Unhandled event loop exception",1296864671918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296864681010
